文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
西安市工业和信息化委员会关于邀请会计师事务所对市2017年下半年工业促投资稳增长奖励（拓展市场类）申报资料复核审计的通知,工信委,2018-05-31 17:12, 013353737/2018-02856551,通知,文秘工作,2856551.txt
西安市工业和信息化委员会西安市财政局关于公布西安市涉企保证金目录清单的通知,工信委,2018-05-31 17:10, 013353737/2018-02945156,保证金,其他,2945156.txt
西安市中小企业促进局关于邀请会计师事务所对2018年市中小微型企业信用担保机构担保补贴资金项目进行审核的函,工信委,2018-05-30 16:58, 013353737/2018-02854023,函,文秘工作,2854023.txt
西安市中小企业促进局关于征集第五批西安市中小企业公共服务示范平台的通知,工信委,2018-05-29 16:06, 013353737/2018-02851087,通知,文秘工作,2851087.txt
西安市中小企业促进局关于推荐申报2018年国家级和省级中小企业公共服务示范平台的通知,工信委,2018-05-28 16:03, 013353737/2018-02848900,通知,文秘工作,2848900.txt
​西安市中小企业促进局关于印发《西安市中小企业公共服务示范平台认定管理办法》的通知,工信委,2018-05-25 18:59, 013353737/2018-02846698,通知,文秘工作,2846698.txt
​关于印发2018年市级重点工业技术改造项目计划的通知,工信委,2018-05-16 15:16, 013353737/2018-02834116,通知,文秘工作,2834116.txt
关于组织推荐第三批制造业单项冠军企业和单项冠军产品的通知,工信委,2018-05-08 16:38, 013353737/2018-02825435,通知,文秘工作,2825435.txt
关于开展第二批国家工业遗产申报工作的通知,工信委,2018-05-08 16:31, 013353737/2018-02825395,通知,文秘工作,2825395.txt
关于组织推荐2018年两化融合管理体系贯标试点企业的通知,工信委,2018-05-07 18:23, 013353737/2018-02824491,通知,文秘工作,2824491.txt
关于做好企业两化融合评估诊断和对标引导工作的通知,工信委,2018-05-07 18:14, 013353737/2018-02824483,通知,文秘工作,2824483.txt
关于组织申报省级制造业创新中心（第二批）创建工作的通知,工信委,2018-05-02 10:20, 013353737/2018-02815272,通知,文秘工作,2815272.txt
关于组织开展市级企业技术中心评价工作的通知,工信委,2018-04-29 15:33, 013353737/2018-02814887,通知,文秘工作,2814887.txt
关于组织申报2018年陕西省重点新产品开发项目的通知,工信委,2018-04-29 10:40, 013353737/2018-02814810,通知,文秘工作,2814810.txt
关于组织开展市级技术创新示范企业复核评价工作的通知,工信委,2018-04-29 10:28, 013353737/2018-02814804,通知,文秘工作,2814804.txt
关于做好2018年中小微型企业信用担保机构担保补贴申报工作的通知,工信委,2018-04-26 16:00, 013353737/2018-02811181,通知,文秘工作,2811181.txt
关于申报2018年度西安市区县工业园区（基地）标准化厂房出租补贴的通知,工信委,2018-04-25 14:25, 013353737/2018-02809185,通知,文秘工作,2809185.txt
测一测，2018政府工作报告知多少,工信委,2018-04-24 18:08, 013353737/2018-02808456,文化活动,文化,2808456.txt
西安市中小企业促进局转发陕西省中小企业促进局关于做好2018年民营经济转型升级示范企业申报工作的通知,工信委,2018-04-19 16:42, 013353737/2018-02803863,通知,文秘工作,2803863.txt
西安市中小企业促进局关于做好小微企业应收账款融资需求调查的通知,工信委,2018-04-19 15:47, 013353737/2018-02803702,通知,文秘工作,2803702.txt
西安市中小企业服务中心关于举办2017年度企业所得税汇算清缴新政策解析及操作技巧培训的通知,工信委,2018-04-12 19:10, 013353737/2018-02797902,通知,文秘工作,2797902.txt
西安市工业和信息化委员会转发《省工信厅关于组织申报2018年省级工业产品质量控制和技术评价实验室的通知》,工信委,2018-04-09 18:22, 013353737/2018-02793434,通知,文秘工作,2793434.txt
西安市工业和信息化委员会转发《省工信厅关于组织开展2018年陕西省质量标杆活动的通知》,工信委,2018-04-09 18:18, 013353737/2018-02793431,通知,文秘工作,2793431.txt
西安市工业和信息化委员会转发《省工信厅关于组织开展2018年陕西省工业企业品牌培育试点示范工作的通知》,工信委,2018-04-09 16:31, 013353737/2018-02793428,通知,文秘工作,2793428.txt
西安市工业和信息化委员会转发关于开展全省工业遗产及工业博物馆摸底调查的通知,工信委,2018-04-09 16:05, 013353737/2018-02793102,通知,文秘工作,2793102.txt
西安市中小企业服务中心关于举办2018年第一期“项目经理人”培训的通知,工信委,2018-04-09 15:22, 013353737/2018-02793044,通知,文秘工作,2793044.txt
关于推荐国家陕西省和申报西安市小型微型企业创业创新基地的通知,工信委,2018-04-05 11:57, 013353737/2018-02791235,通知,文秘工作,2791235.txt
西安市中小企业促进局转发陕西省中小企业促进局关于申报2018年陕西省中小企业创新研发中心的通知,工信委,2018-04-05 11:49, 013353737/2018-02791232,通知,文秘工作,2791232.txt
关于省级以上企业技术中心评估考核工作的通知,工信委,2018-04-03 19:01, 013353737/2018-02789792,通知,文秘工作,2789792.txt
关于2018年（第14批）省级企业技术申报及评估培训工作的通知,工信委,2018-04-03 18:01, 013353737/2018-02789770,通知,文秘工作,2789770.txt
关于组织申报2018年（第14批）省级企业技术中心的通知,工信委,2018-04-03 17:53, 013353737/2018-02789760,通知,文秘工作,2789760.txt
关于组织申报2018年西安市技术创新示范企业(第6批)的通知,工信委,2018-04-03 11:24, 013353737/2018-02788872,通知,文秘工作,2788872.txt
关于第8届中国西部国际物流产业博览会总体方案的通知,工信委,2018-03-14 16:57, 013353737/2018-02769502,通知,文秘工作,2769502.txt
关于组织申报2018年西安市企业技术中心（第13批）的通知,工信委,2018-03-14 16:52, 013353737/2018-02769494,通知,文秘工作,2769494.txt
关于公布2017年西安市第十二批企业技术中心认定名单和复审结果的通知,工信委,2018-02-22 14:46, 013353737/2018-02749315,通知,通知,2749315.txt
关于转发《陕西省中小企业促进局关于公布2017年度陕西省中小企业公共服务示范平台名单的通知》的通知,工信委,2018-01-29 12:57, 013353737/2018-02730988,通知,文秘工作,2730988.txt
关于参加第53届全国工艺品交易会的通知,工信委,2018-01-25 09:11, 013353737/2018-02727868,通知,文秘工作,2727868.txt
关于征集拟上市后备企业的通知,工信委,2018-01-19 14:10, 013353737/2018-02723646,通知,文秘工作,2723646.txt
关于参加第十届中国西安国际食品博览会的通知,工信委,2018-01-17 19:37, 013353737/2018-02722243,通知,文秘工作,2722243.txt
关于印发《西安市工业和信息化行业危险化学品安全综合治理实施方案》的通知,工信委,2018-01-16 16:48, 013353737/2018-02720899,通知,文秘工作,2720899.txt
关于报送消费品工业重点企业2012-2017年有关数据的通知,工信委,2018-01-16 16:45, 013353737/2018-02720885,通知,文秘工作,2720885.txt
关于报送西安市2017年度企业技术中心年报的通知,工信委,2018-01-15 19:02, 013353737/2018-02720041,通知,文秘工作,2720041.txt
关于公布2017年西安市技术创新示范企业评价结果的通知,工信委,2018-01-15 18:55, 013353737/2018-02720038,通知,文秘工作,2720038.txt
关于公布西安市第五批技术创新示范企业名单通知,工信委,2018-01-09 19:08, 013353737/2018-02714822,通知,文秘工作,2714822.txt
关于征集2018年工业投资项目的通知,工信委,2018-01-08 21:55, 013353737/2018-02714060,通知,文秘工作,2714060.txt
关于转发陕西省工信厅、民政厅、卫计委组织申报《智慧健康养老产品及服务推广目录》的通知,工信委,2018-01-04 17:21, 013353737/2018-02711215,通知,文秘工作,2711215.txt
关于对我市新能源产业调研的通知,工信委,2018-01-02 13:05, 013353737/2018-02708021,通知,文秘工作,2708021.txt
关于转发陕西省工信厅、财政厅征集2018年大数据和两化融合项目的通知,工信委,2017-12-26 15:58, 013353737/2018-02703178,通知,文秘工作,2703178.txt
关于组织报送工业互联网平台典型案例及相关材料的通知,工信委,2017-12-19 15:46, 013353737/2017-02694980,通知,文秘工作,2694980.txt
关于印发2018年工业发展专项资金（兑现2017年促投资稳增长奖励资金）申报指南的通知,工信委,2017-12-14 17:23, 013353737/2017-02689558,资金,财政,2689558.txt
关于组织开展评选表彰“西安十佳军民融合企业家”的通知,工信委,2017-12-12 16:17, 013353737/2017-02685450,通知,文秘工作,2685450.txt
关于做好2018年省级中小企业发展专项资金县域工业集中区和小微企业创业创新基地项目申报工作的通知,工信委,2017-12-08 19:23, 013353737/2017-02682327,通知,文秘工作,2682327.txt
​关于召开2017中国•西安工业互联网发展论坛暨“西安工业云平台”发布会的通知,工信委,2017-12-06 13:46, 013353737/2017-02677483,会议,文秘工作,2677483.txt
关于选聘承担专项产业发展规划编制单位的公告,工信委,2017-12-01 16:00, 013353737/2017-02671551,公告,文秘工作,2671551.txt
​关于做好2018年省级中小企业发展专项资金市场主体和服务体系项目申报工作的通知,工信委,2017-11-30 09:30, 013353737/2018-02668997,通知,文秘工作,2668997.txt
关于开展计量标杆示范活动的通知,工信委,2017-11-28 15:19, 013353737/2017-02665988,通知,文秘工作,2665988.txt
关于开展第七届中国工艺美术大师陕西参评人选推荐工作的通知,工信委,2017-11-24 11:01, 013353737/2017-02646386,通知,文秘工作,2646386.txt
关于对部分省级成长梯队企业发展情况进行调研的通知,工信委,2017-11-22 16:58, 013353737/2018-02643835,通知,文秘工作,2643835.txt
关于做好小微企业金融知识普及教育活动工作的通知,工信委,2017-11-22 16:57, 013353737/2017-02643812,通知,文秘工作,2643812.txt
关于组织参加首届中国工业设计展览会的通知,工信委,2017-11-21 09:44, 013353737/2017-02641044,博览会,对外经贸合作,2641044.txt
关于填报全市工业和信息化系统通信录信息的通知,工信委,2017-11-15 11:19, 013353737/2017-02634369,通知,文秘工作,2634369.txt
关于举办“军民融合政策”讲座的通知,工信委,2017-11-06 14:40, 013353737/2017-02621430,通知,文秘工作,2621430.txt
关于我市不符合产业政策“10+3”企业取缔情况的公告,工信委,2017-10-31 17:26, 013353737/2017-02616014,公告,文秘工作,2616014.txt
关于组织申报全国消费品工业“三品”战略示范试点城市的通知,工信委,2017-10-31 15:40, 013353737/2017-02615671,通知,文秘工作,2615671.txt
关于举办第五期“项目经理人”培训的通知,工信委,2017-10-31 15:12, 013353737/2017-02615614,培训,教育,2615614.txt
关于变更门户网站域名的公告,工信委,2017-10-27 15:39, 013353737/2017-02612416,通告,文秘工作,2612416.txt
关于组织推荐2017年全国工业领域电力需求侧管理示范企业（园区）的通知,工信委,2017-10-26 10:54, 013353737/2017-02610192,通知,文秘工作,2610192.txt
​关于做好2017年中小微型企业信用担保机构担保补贴申报工作的通知,工信委,2017-10-25 11:10, 013353737/2017-02608911,通知,文秘工作,2608911.txt
关于做好重点新材料首批次应用保险补偿机制试点工作的通知,工信委,2017-10-20 21:19, 013353737/2017-02605084,通知,文秘工作,2605084.txt
关于推动2017年下半年工业促投资稳增长的实施意见,工信委,2017-10-18 15:10, 013353737/2017-02601587,投资,重大项目建设,2601587.txt
关于举办“精益生产管理人”培训的通知,工信委,2017-10-11 19:36, 013353737/2017-02595905,培训,教育,2595905.txt
关于组织参加桂林市名特优产品推介会的通知,工信委,2017-09-29 19:42, 013353737/2017-02589225,通知,文秘工作,2589225.txt
关于参加“陕西省首届高校科技成果和第三届研究生创新成果对接洽谈会”的通知,工信委,2017-09-28 16:42, 013353737/2017-02587133,洽谈会,对外经贸合作,2587133.txt
关于推荐省级中小企业公共服务示范平台的通知,工信委,2017-09-26 21:25, 013353737/2017-02583677,通知,文秘工作,2583677.txt
关于开展西安新材料产业基本情况调查的通知,工信委,2017-09-22 22:51, 013353737/2017-02579503,调查,机关事务,2579503.txt
关于开展大数据产业情况摸底调查的通知,工信委,2017-09-13 16:05, 013353737/2017-02561939,调查,机关事务,2561939.txt
​关于对省市工业发展专项资金补助项目集中验收竞争性谈判的通知,工信委,2017-09-13 15:59, 013353737/2017-02561914,通知,文秘工作,2561914.txt
关于征集新材料产业投资基金项目库入库项目的通知,工信委,2017-09-13 15:59, 013353737/2018-02561905,通知,文秘工作,2561905.txt
关于做好北斗产业国际化发展论坛嘉宾邀请工作的通知,工信委,2017-09-11 15:56, 013353737/2017-02561892,通知,文秘工作,2561892.txt
​关于做好2017年省级中小企业新三板挂牌补助资金申报工作的通知,工信委,2017-09-11 15:26, 013353737/2017-02558864,资金,财政,2558864.txt
​关于组织参加全省食品工业企业诚信体系国家标准宣贯培训班的通知,工信委,2017-09-07 10:54, 013353737/2017-02555790,培训,教育,2555790.txt
关于开展国家工业遗产认定试点申报工作的通知,工信委,2017-09-05 17:57, 013353737/2017-02549537,通知,文秘工作,2549537.txt
​关于举办第四期“项目经理人”培训的通知,工信委,2017-09-05 17:50, 013353737/2017-02549514,培训,教育,2549514.txt
西安市中小企业发展基金管理机构征集遴选公告,工信委,2017-08-23 17:06, 013353737/2017-02534712,公告,文秘工作,2534712.txt
关于开展省级示范县域工业集中区（园区）申报工作的通知,工信委,2017-08-17 22:14, 013353737/2017-02529495,通知,文秘工作,2529495.txt
关于组团参加第十四届中国国际中小企业博览会的通知,工信委,2017-08-17 22:12, 013353737/2017-02529490,博览会,对外经贸合作,2529490.txt
关于召开西安市中小企业信息化建设推进会的通知,工信委,2017-08-15 19:31, 013353737/2017-02527405,通知,文秘工作,2527405.txt
关于征集全市中小企业融资需求情况的通知,工信委,2017-08-14 17:57, 013353737/2017-02526150,通知,文秘工作,2526150.txt
关于举办“2017年社保基数年审年检”培训会的通知,工信委,2017-07-20 19:05, 013353737/2017-02502519,通知,文秘工作,2502519.txt
关于推荐2017年度国家中小企业公共服务示范平台的通知,工信委,2017-07-19 12:32, 013353737/2017-02500807,通知,文秘工作,2500807.txt
关于开展协作配套中小企业和家庭工业集群发展情况调查的通知,工信委,2017-07-17 22:14, 013353737/2017-02499201,调查,机关事务,2499201.txt
关于填报2017年企业技术中心上半年快报简表的通知,工信委,2017-07-17 22:00, 013353737/2017-02499187,通知,文秘工作,2499187.txt
关于邀请中介机构参与2017年企业技术中心申报企业复核审计的通知,工信委,2017-07-17 21:58, 013353737/2017-02499184,审计,审计,2499184.txt
关于对我省民营企业在“一带一路”沿线国家地区开展投资合作情况摸底的通知,工信委,2017-07-13 16:32, 013353737/2017-02496597,通知,文秘工作,2496597.txt
关于征集2017年消费品工业“三品”工程专项资金项目的通知,工信委,2017-07-04 11:12, 013353737/2017-02487599,资金,财政,2487599.txt
关于完善企业代表组织设立健全区县开发区企业联合会（协会）的通知,工信委,2017-07-03 11:06, 013353737/2017-02487580,通知,文秘工作,2487580.txt
关于做好《产业转移指导目录（2012年本）》修订工作的通知,工信委,2017-06-28 14:14, 013353737/2017-02482231,通知,文秘工作,2482231.txt
关于组织参加陕西名特产品（杭州）展销会暨陕西-浙江企业协作与发展对接洽谈会有关事项的通知,工信委,2017-06-26 21:47, 013353737/2017-02461560,洽谈会,对外经贸合作,2461560.txt
关于组织开展2017年陕西省工业企业品牌培育试点示范工作的通知,工信委,2017-06-23 17:04, 013353737/2017-02459642,通知,文秘工作,2459642.txt
关于积极参加2017年“创客中国”创新创业大赛的通知,工信委,2017-06-22 13:32, 013353737/2017-02457659,通知,文秘工作,2457659.txt
关于邀请中介机构参与西安市军民融合创新改革扶持奖励项目复核审计的通知,工信委,2017-06-19 16:35, 013353737/2017-02453669,审计,审计,2453669.txt
关于开展企业两化融合评估诊断和对标引导工作的通知,工信委,2017-06-19 16:30, 013353737/2017-02453646,通知,文秘工作,2453646.txt
关于对生产经营困难企业进行调研的通知,工信委,2017-06-16 16:30, 013353737/2017-02452182,通知,文秘工作,2452182.txt
关于申报2017年省级中小企业发展专项资金服务业务奖补项目的通知,工信委,2017-06-09 17:29, 013353737/2017-02445105,通知,文秘工作,2445105.txt
​关于组织推荐第二批制造业单项冠军企业和单项冠军产品的通知,工信委,2017-06-06 10:33, 013353737/2017-02440062,通知,文秘工作,2440062.txt
关于认定第四批“西安市中小企业公共服务示范平台”的通知,工信委,2017-06-02 21:29, 013353737/2017-02438404,通知,文秘工作,2438404.txt
关于公布2016年第十一批西安市企业技术中心认定名单和2016年企业技术中心复审结果及撤销部分市级企业技术中心资格名单的通知,工信委,2017-06-02 21:24, 013353737/2017-02438400,通知,文秘工作,2438400.txt
关于做好中小企业品牌建设调研及品牌培育推荐工作的通知,工信委,2017-05-31 17:46, 013353737/2017-02435223,通知,文秘工作,2435223.txt
关于编制2017年度工业企业技术改造升级导向计划的通知,工信委,2017-05-31 17:43, 013353737/2017-02435219,通知,文秘工作,2435219.txt
关于做好2017年中小企业经营管理领军人才选拔推荐工作的紧急通知,工信委,2017-05-24 22:14, 013353737/2017-02429426,通知,文秘工作,2429426.txt
关于下达2017年度市级重点工业技术改造项目计划的通知,工信委,2017-05-23 15:21, 013353737/2017-02425025,通知,文秘工作,2425025.txt
关于组织申报2017年陕西省技术创新示范企业的通知,工信委,2017-05-19 21:05, 013353737/2017-02419247,通知,文秘工作,2419247.txt
关于组织申报第三批省级工业产品质量控制和技术评价实验室的通知,工信委,2017-05-19 17:37, 013353737/2017-02419120,通知,文秘工作,2419120.txt
关于组织开展2017年陕西省质量标杆活动的通知,工信委,2017-05-19 17:24, 013353737/2017-02419034,通知,文秘工作,2419034.txt
​关于组织开展对认定市级企业技术中心评价工作的通知,工信委,2017-05-19 17:18, 013353737/2017-02418966,通知,文秘工作,2418966.txt
​关于组织对2014年认定的市级技术创新示范企业复核评价工作的通知,工信委,2017-05-19 17:13, 013353737/2017-02418933,通知,文秘工作,2418933.txt
关于做好2017年西安市技术创新项目申报工作的通知,工信委,2017-05-19 17:08, 013353737/2017-02418869,通知,文秘工作,2418869.txt
关于组织申报2017年陕西省重点新产品开发项目的通知,工信委,2017-05-18 17:48, 013353737/2017-02417592,通知,文秘工作,2417592.txt
关于参加省中小企业科技成果产业化活动的通知,工信委,2017-05-18 11:17, 013353737/2017-02416902,通知,文秘工作,2416902.txt
关于申请列入工信部首台（套）重大技术装备推广应用指导目录的通知,工信委,2017-05-15 17:38, 013353737/2017-02413005,通知,文秘工作,2413005.txt
关于组织企业参加国家级工业设计中心认定工作的通知,工信委,2017-05-15 17:23, 013353737/2017-02412984,通知,文秘工作,2412984.txt
关于组织开展产业互联网集成服务解决方案征集活动的通知,工信委,2017-05-15 17:20, 013353737/2017-02412940,通知,文秘工作,2412940.txt
关于征集2017年度首台（套）重大技术装备产品项目的通知,工信委,2017-05-12 13:42, 013353737/2017-02410757,通知,文秘工作,2410757.txt
关于申报2017年国家智能制造综合标准化与新模式应用及省级智能制造试点示范项目的通知,工信委,2017-05-12 13:37, 013353737/2017-02410742,通知,文秘工作,2410742.txt
关于鼓励和引导企业开展挥发性有机物技术改造工作的通知,工信委,2017-05-12 13:20, 013353737/2017-02437444,通知,文秘工作,2437444.txt
关于推荐第三批省级中小企业成长梯队企业的通知,工信委,2017-05-02 14:43, 013353737/2017-02401054,通知,文秘工作,2401054.txt
​关于开展2017年陕西省博士后创新基地申报推荐工作的通知,工信委,2017-05-02 14:41, 013353737/2017-02401051,通知,文秘工作,2401051.txt
​关于开展2017年百千万人才工程国家级人选选拔推荐工作的通知,工信委,2017-05-02 14:38, 013353737/2017-02401047,通知,文秘工作,2401047.txt
转发工信部办公厅关于推荐2017年两化融合管理体系贯标试点企业的通知,工信委,2017-04-28 14:16, 013353737/2017-02398875,通知,文秘工作,2398875.txt
关于举办第三期“项目经理人”培训的通知,工信委,2017-04-28 14:03, 013353737/2017-02398859,培训,教育,2398859.txt
关于参加2017年（第13批）省级企业技术申报培训的通知,工信委,2017-04-28 10:42, 013353737/2017-02398697,通知,文秘工作,2398697.txt
转发省工信厅关于做好2017年工业质量品牌建设工作的通知,工信委,2017-04-27 17:48, 013353737/2017-02398291,通知,文秘工作,2398291.txt
转发省工信厅关于印发《陕西省2017年工业品牌建设宣传活动实施方案》的通知,工信委,2017-04-27 17:40, 013353737/2017-02398281,通知,文秘工作,2398281.txt
关于报送工业品牌建设情况的通知,工信委,2017-04-27 17:40, 013353737/2017-02398274,通知,文秘工作,2398274.txt
关于军民融合相关政策申报的有关说明,工信委,2017-04-26 22:35, 013353737/2017-02397322,通知,文秘工作,2397322.txt
关于组织申报2017年（第13批）省级企业技术中心的通知,工信委,2017-04-26 10:44, 013353737/2017-02389278,通知,文秘工作,2389278.txt
关于申报省级制造业创新中心建设（第一批）试点的通知,工信委,2017-04-25 16:40, 013353737/2017-02388289,通知,文秘工作,2388289.txt
关于完善西安市工业发展专项资金扶持项目管理和验收工作有关事项的通知,工信委,2017-04-25 12:16, 013353737/2017-02387708,通知,文秘工作,2387708.txt
​关于申报军民融合创新改革支持政策的通知,工信委,2017-04-21 18:36, 013353737/2017-02385487,通知,文秘工作,2385487.txt
​关于申报2016年度西安市军工仪器设备共享补助奖励的通知,工信委,2017-04-21 18:21, 013353737/2017-02385482,通知,文秘工作,2385482.txt
​关于印发《西安市军工资源共享管理暂行办法》的通知,工信委,2017-04-21 18:19, 013353737/2017-02385479,通知,文秘工作,2385479.txt
关于做好2017丝博会暨第21届西洽会有关工作的通知,工信委,2017-04-19 13:05, 013353737/2017-02375512,博览会,对外经贸合作,2375512.txt
​关于邀请中介机构参与2017年市支持区县工业园区发展专项资金申报项目复核审计的通知,工信委,2017-04-18 21:16, 013353737/2017-02374869,审计,财政,2374869.txt
关于做好2016年军工单位民品研发生产企业发展奖励和民口企业申请军品资格认证奖励申请审核工作的通知,工信委,2017-04-14 17:54, 013353737/2017-02370910,通知,文秘工作,2370910.txt
关于举办梯队企业管理创新咨询服务现场对接会的通知,工信委,2017-04-14 16:28, 013353737/2017-02370542,通知,文秘工作,2370542.txt
关于参加第十七届中国哈尔滨国际装备制造业博览会的通知,工信委,2017-04-07 13:35, 013353737/2017-02363792,博览会,对外经贸合作,2363792.txt
市质监局市工信委关于申报主导制定军民融合技术标准奖励的通知,工信委,2017-04-07 13:32, 013353737/2018-02363783,通知,文秘工作,2363783.txt
西安市军民融合产业标准化项目扶持管理办法,工信委,2017-04-07 13:24, 013353737/2018-02363773,标准,标准,2363773.txt
关于参加中小企业金融服务战略合作协议签订仪式的通知,工信委,2017-04-05 17:37, 013353737/2017-02361547,通知,文秘工作,2361547.txt
关于报送规模以上企业包抓名单的通知,工信委,2017-04-05 14:36, 013353737/2017-02361119,通知,文秘工作,2361119.txt
关于参加全市文化创意产业统计工作培训班的通知,工信委,2017-04-05 14:32, 013353737/2017-02361097,培训,教育,2361097.txt
关于做好2017年民营经济转型升级示范企业申报工作的通知,工信委,2017-03-31 13:35, 013353737/2017-02357523,通知,文秘工作,2357523.txt
关于组织申报2017年第十二批企业技术中心的通知,工信委,2017-03-29 16:14, 013353737/2017-02354881,通知,文秘工作,2354881.txt
​关于申报2017年第五批西安市技术创新示范企业的通知,工信委,2017-03-29 15:19, 013353737/2017-02354656,通知,文秘工作,2354656.txt
关于关于征集2017年大数据和两化融合项目的通知,工信委,2017-03-29 13:59, 013353737/2017-02354430,通知,文秘工作,2354430.txt
关于举办第二期2016年度企业所得税汇算清缴新政策解析及操作技巧培训的通知,工信委,2017-03-29 12:53, 013353737/2017-02354346,培训,教育,2354346.txt
关于调整标准化厂房出租补助申报有关内容的通知,工信委,2017-03-24 22:41, 013353737/2017-02350371,通知,文秘工作,2350371.txt
关于邀请中介机构参与2017年市工业发展专项资金申报项目复核审计的通知,工信委,2017-03-22 15:33, 013353737/2017-02347301,审计,财政,2347301.txt
关于组织申报重点建设县域工业集中区的通知,工信委,2017-03-22 15:28, 013353737/2017-02347293,通知,文秘工作,2347293.txt
2016年度企业所得税汇算清缴新政策解析及操作技巧培训的通知,工信委,2017-03-22 15:13, 013353737/2017-02347239,培训,教育,2347239.txt
​关于征集第四批西安市中小企业公共服务示范平台的通知,工信委,2017-03-20 18:00, 013353737/2017-02344985,通知,文秘工作,2344985.txt
关于申报2016年工业稳增长企业流动资金贷款贴息的通知,工信委,2017-03-17 22:35, 013353737/2017-02343435,贷款,银行,2343435.txt
关于做好2016年新增规模以上企业奖励工作的通知,工信委,2017-03-17 22:33, 013353737/2017-02343432,通知,文秘工作,2343432.txt
市工信委党组关于巡视整改情况的通报,工信委,2017-03-11 13:19, 013353737/2017-02336872,通报,文秘工作,2336872.txt
关于做好2017年度省级中小企业发展基金项目征集工作的通知,工信委,2017-03-10 22:04, 013353737/2017-02336215,基金,财政,2336215.txt
关于组织开展2017年制造业与互联网融合发展试点示范工作的通知,工信委,2017-03-08 22:47, 013353737/2017-02333459,通知,文秘工作,2333459.txt
关于推荐国家和陕西省小型微型企业创业创新基地的通知及征集第四批市级小型微型企业创业基地的通知,工信委,2017-03-01 18:51, 013353737/2017-02326894,通知,文秘工作,2326894.txt
关于做好2016年工业企业扩大产销奖励工作的通知,工信委,2017-02-17 21:56, 013353737/2017-02336212,通知,文秘工作,2336212.txt
